"利用日","利用店名・商品名","利用者","支払方法","利用金額","手数料/利息","支払総額","2月支払金額","3月繰越残高","新規サイン"
"2026/01/09","Ｓｕｉｃａ（携帯決済）","本人","1回払い","3000","0","3000","3000","0","*"
"2026/01/09","ﾌｱﾐﾘｰﾏｰﾄ","本人","1回払い","509","0","509","509","0","*"
"2026/01/08","ｵﾚﾛｸﾆﾀﾁ","本人","1回払い","4800","0","4800","4800","0","*"
"2026/01/08","ｾｲﾕｳ","本人","1回払い","3022","0","3022","3022","0","*"
"2026/01/07","ファミリーマート","本人","1回払い","162","0","162","162","0","*"
"2026/01/07","ﾌｱﾐﾘｰﾏｰﾄ","本人","1回払い","321","0","321","321","0","*"
"2026/01/06","ｷﾞﾕｳﾀﾝﾘﾖｳﾘｶｸﾅｶｹﾁ","本人","1回払い","7071","0","7071","7071","0","*"
"2026/01/05","ｱﾍﾞｶﾏﾎﾞｺ ﾎﾝﾃﾝ","本人","1回払い","1120","0","1120","1120","0","*"
"2026/01/05","ｾﾝﾀﾞｲｴｷｺｳﾅｲﾃﾝﾎﾟ","本人","1回払い","398","0","398","398","0","*"
"2026/01/05","楽天ＳＰ　ＡＫＩＴＡＤＩＮＩＮＧなまはげ","本人","1回払い","9416","0","9416","9416","0","*"
"2026/01/03","ﾖﾄﾞﾊﾞｼｶﾒﾗ ｾﾝﾀﾞｲﾃ","本人","1回払い","2540","0","2540","2540","0","*"
"2026/01/03","ｽ-ﾂｽｸｴｱ","本人","1回払い","4389","0","4389","4389","0","*"
"2026/01/01","ｾﾌﾞﾝ-ｲﾚﾌﾞﾝ","本人","1回払い","1738","0","1738","1738","0","*"
"2026/01/01","ﾖﾄﾞﾊﾞｼｶﾒﾗ ｾﾝﾀﾞｲﾃ","本人","1回払い","55000","0","55000","55000","0","*"
